"","winner","type","pcandvote","candidate","candrace","candvote","pwhitevt","pblackvt","platinovt","pasianvt","totvote","state","population","vote50bl","vote50wh","vote50as","blwhdiv","blladiv","laasdiv","aswhdiv","numcand","blwhcand","lawhcand","aswhcand","laascand","biracial","whwhcand","blblcand","lalacand","biracialminonly","whcand","lacand","ascand","fips_pla","fips_cnty","cityname","populationinterp","pctunemplinterp","pctpovertyinterp","chng5pop","mayor_council","council_manager","nonpartisan","term_limits_council","staggered_council","mayoral_veto","novevenyr_concurrent","city","year","incumbent","primary","general","runoff","dempresp2_interp","fips_st","fips_plaS","fips_stS","fips_stpla","geo_id2S","geo_id2","H_citytract_NHW_i","H_citytract_multi_i","isolationwht_i","pctlocalgovworker","pctwhtpopinterp","pctblkpopinterp","pctasianpopinterp","pctlatinopopinterp","pop65ovinterp","pctcollegegradinterp","medincinterp","pctrentersinterp","diversityinterp","region","northeast","south","midwest","west","logpop","totalr","citywhiteideol_interp","citywhiteideol_interp2","whiteideology_fill2","latinowhdivide","blackwhdivide","blacklatinodivide","biggestsplit","whiteblhispdivid","biggestsplit_gr","year.f"
"116",1,"Democratic Primary",0.639999985694885,"Scarborough","Black",12868,0.42,0.82,NA,NA,20198,"NC",NA,0.319999992847443,0.0799999982118607,NA,0.400000005960464,NA,NA,NA,3,1,0,0,0,1,0,0,0,0,0,0,0,12000,119,"Charlotte City",582154,0.0314847383648156,0.103610486537218,98474.203125,0,1,0,0,0,1,0,"Charlotte city",2001,0,1,0,0,NA,37,"12000","37","3712000","3712000",3712000,0.286851360039277,0.268889139999043,0.705592426386747,NA,0.542543430219997,0.325193681500175,0.0340690694072032,0.078526775945317,46507.8181818184,0.238655242052945,47536,0.423933145674792,0.591263451359488,4,0,1,0,0,13.2744903564453,NA,4.03636372089386,4.03636372089386,4.03636360168457,NA,0.400000005960464,NA,0.400000005960464,NA,1,"2001"
"117",1,"General",0.569999992847443,"McCrory","white",44123,NA,NA,NA,NA,78079,"NC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,12000,119,"Charlotte City",602516,0.0328786905854936,0.103021907061339,89610.6015625,0,1,0,0,0,1,0,"Charlotte city",2003,1,0,1,0,NA,37,"12000","37","3712000","3712000",3712000,0.280724506486545,0.259575876322659,0.690727569840172,NA,0.526416716250505,0.3279036229307,0.0371897091919728,0.0879850116643031,49417.4545454546,0.242179878733375,48658,0.421833030202172,0.603615874593908,4,0,1,0,0,13.3088693618774,NA,4.39999997615814,3.84999996423721,3.84999990463257,NA,NA,NA,NA,NA,NA,"2003"
"118",1,"Republican Primary",0.639999985694885,"McCrory","white",10379,NA,NA,NA,NA,16174,"NC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,12000,119,"Charlotte City",602516,0.0328786905854936,0.103021907061339,89610.6015625,0,1,0,0,0,1,0,"Charlotte city",2003,1,1,0,0,NA,37,"12000","37","3712000","3712000",3712000,0.280724506486545,0.259575876322659,0.690727569840172,NA,0.526416716250505,0.3279036229307,0.0371897091919728,0.0879850116643031,49417.4545454546,0.242179878733375,48658,0.421833030202172,0.603615874593908,4,0,1,0,0,13.3088693618774,NA,4.39999997615814,3.84999996423721,3.84999990463257,NA,NA,NA,NA,NA,NA,"2003"
"119",1,"Democratic Primary",0.779999971389771,"Madans","white",8275,NA,NA,NA,NA,11248,"NC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,12000,119,"Charlotte City",602516,0.0328786905854936,0.103021907061339,89610.6015625,0,1,0,0,0,1,0,"Charlotte city",2003,0,1,0,0,NA,37,"12000","37","3712000","3712000",3712000,0.280724506486545,0.259575876322659,0.690727569840172,NA,0.526416716250505,0.3279036229307,0.0371897091919728,0.0879850116643031,49417.4545454546,0.242179878733375,48658,0.421833030202172,0.603615874593908,4,0,1,0,0,13.3088693618774,NA,4.39999997615814,3.84999996423721,3.84999990463257,NA,NA,NA,NA,NA,NA,"2003"
"120",1,"Primary",0.0480000004172325,"Perk","white",NA,0.08,NA,NA,NA,NA,"OH",NA,NA,0.419999986886978,NA,NA,NA,NA,NA,5,1,0,0,0,1,0,0,0,0,1,0,0,16000,35,"Cleveland City",512436.6,0.0639542255550634,0.274906623363494,-34103,1,NA,1,1,NA,1,0,"Cleveland city",1989,NA,1,0,0,0.604835510253906,39,"16000","39","3916000","3916000",3916000,0.614445883035659,0.634703803062439,0.834987676143647,NA,0.484634262323381,0.459702098369598,0.00930006681010126,0.0428662920370697,70826,0.049174426496029,17267.5,0.520408666133881,0.551590728759766,2,0,0,1,0,13.1469326019287,NA,NA,NA,4.25,NA,NA,NA,NA,NA,NA,"1989"
"121",1,"general",0.560000002384186,"White","black",NA,0.8,0.3,NA,NA,NA,"OH",NA,0.200000002980232,0.300000011920929,NA,0.5,NA,NA,NA,5,0,0,0,0,0,0,1,0,0,0,0,0,16000,35,"Cleveland City",512436.6,0.0639542255550634,0.274906623363494,-34103,1,NA,1,1,NA,1,0,"Cleveland city",1989,NA,0,1,0,0.604835510253906,39,"16000","39","3916000","3916000",3916000,0.614445883035659,0.634703803062439,0.834987676143647,NA,0.484634262323381,0.459702098369598,0.00930006681010126,0.0428662920370697,70826,0.049174426496029,17267.5,0.520408666133881,0.551590728759766,2,0,0,1,0,13.1469326019287,NA,NA,NA,4.25,NA,0.5,NA,0.5,NA,1,"1989"
"122",1,"general",0.839999973773956,"White","black",NA,NA,NA,NA,NA,NA,"OH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,16000,35,"Cleveland City",497449.1,0.0555133406072854,0.273698827624321,-21808.099609375,1,NA,1,1,NA,1,0,"Cleveland city",1993,1,0,1,0,0.649999991059303,39,"16000","39","3916000","3916000",3916000,0.563991847634316,0.591321018338203,0.79178677201271,NA,0.452909091114996,0.474498328566551,0.0109605853445828,0.0525835603475571,66165.1000000001,0.0566371735185385,20253.8,0.518900638818741,0.564468026161194,2,0,0,1,0,13.1172485351562,NA,NA,NA,4.25,NA,NA,NA,NA,NA,NA,"1993"
"123",1,"Primary",0.550000011920929,"White","black",30718,NA,NA,NA,NA,NA,"OH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,16000,35,"Cleveland City",486559.899999999,0.0510816056281329,0.263597616553306,-13611.5,1,NA,1,1,NA,1,0,"Cleveland city",1997,1,1,0,0,0.674000000953674,39,"16000","39","3916000","3916000",3916000,0.502323296666145,0.53481346666813,0.739022332429887,NA,0.416715851426122,0.490462872385979,0.0129010492004454,0.0638097077608109,60495.8999999999,0.0648243110626936,23496.2,0.516548806428909,0.579006791114807,2,0,0,1,0,13.0951156616211,NA,NA,NA,4.25,NA,NA,NA,NA,NA,NA,"1997"
"124",1,"Primary",0.28999999165535,"Pierce","black",23457,NA,NA,NA,NA,79748,"OH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,16000,35,"Cleveland City",472091,0.0466498706489804,0.253496405482292,-17191.19921875,1,NA,1,1,NA,1,0,"Cleveland city",2001,0,1,0,0,NA,39,"16000","39","3916000","3916000",3916000,0.447256659919567,0.481877874244343,0.690654369917784,NA,0.386004220355641,0.504042056473819,0.0144407374107025,0.0742180943489075,55665.4545454546,0.0726523805748331,26068.1818181818,0.516781920736486,0.590579292990945,2,0,0,1,0,13.0649271011353,NA,4.45000004768372,4.45000004768372,4.44999980926514,NA,NA,NA,NA,NA,NA,"2001"
"125",1,"General",0.540000021457672,"Campbell","white",59257,0.8,0.25,NA,NA,NA,"OH",NA,0.25,0.300000011920929,NA,0.550000011920929,NA,NA,NA,2,1,0,0,0,1,0,0,0,0,1,0,0,16000,35,"Cleveland City",472091,0.0466498706489804,0.253496405482292,-17191.19921875,1,NA,1,1,NA,1,0,"Cleveland city",2001,0,0,1,0,NA,39,"16000","39","3916000","3916000",3916000,0.447256659919567,0.481877874244343,0.690654369917784,NA,0.386004220355641,0.504042056473819,0.0144407374107025,0.0742180943489075,55665.4545454546,0.0726523805748331,26068.1818181818,0.516781920736486,0.590579292990945,2,0,0,1,0,13.0649271011353,NA,4.45000004768372,4.45000004768372,4.44999980926514,NA,0.550000011920929,NA,0.550000011920929,NA,1,"2001"
